Tree,Date,Observers,Note,Phase,# Old Bracts,% Old Fruit,Color Old Fruit (1-3),# New Bracts,% New Fruit,Color New Fruit (1-3),Flowers on ground (0-3),,,,,,,,,,,,,,
3,01/02/2018,Johana,,,5,0,,0,0,,0,,,,,,,,,,,,,,
15,01/02/2018,Johana,Se le como la ploco,,3,16,,0,0,,0,,,,,,,,,,,,,,
10,01/02/2018,Johana,,,2,5,,0,0,,0,,,,,,,,,,,,,,
5,01/02/2018,Johana,,,2,0,,0,0,,0,,,,,,,,,,,,,,
14,01/02/2018,Johana,,,4,0,,0,0,,0,,,,,,,,,,,,,,
7,01/02/2018,Johana,,,1,0,,0,0,,0,,,,,,,,,,,,,,
16,01/02/2018,Johana,Fruto nuevo an el piso,,5,0,,3,11,,0,,,,,,,,,,,,,,
13,01/02/2018,Johana,Frutos 160(N) + 200(D),,4,,,2,160,,0,,,,,,,,,,,,,,
12,01/02/2018,Johana,El bracts se ve viejo (foto 2.2.),,1,20,,0,0,,0,,,,,,,,,,,,,,
11,01/02/2018,Johana,,,2,0,,0,0,,0,,,,,,,,,,,,,,
6,01/02/2018,Johana,Dificil de ver,,1,0,,0,0,,0,,,,,,,,,,,,,,
4,01/02/2018,Johana,,,2,0,,0,0,,0,,,,,,,,,,,,,,
8,01/02/2018,Johana,,,7,0,,0,0,,0,,,,,,,,,,,,,,
9,01/02/2018,Johana,,,1,0,,0,0,,0,,,,,,,,,,,,,,
17,01/02/2018,Johana,,,5,400,,0,0,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,13/02/2018,,,,0,-,,0,,,0,,,,,,,,,,,,,,
1,13/02/2018,,,,3,0,,0,,,0,,,,,,,,,,,,,,
18,13/02/2018,,,,0,-,,0,,,0,,,,,,,,,,,,,,
19,13/02/2018,,,,0,-,,1,0,,0,,,,,,,,,,,,,,
2,13/02/2018,,,,0,-,,0,,,0,,,,,,,,,,,,,,
3,13/02/2018,,,,3,0,,0,,,0,,,,,,,,,,,,,,
15,13/02/2018,,,,3,70,,0,,,0,,,,,,,,,,,,,,
